CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-02-14 18:36:13] [--------] [info ] [main.go:417] CLIProxyAPI Version: dev, Commit: none, BuiltAt: unknown
[2026-02-14 18:36:13] [--------] [info ] [util.go:70] log level changed from info to debug (debug=true)
[2026-02-14 18:36:13] [--------] [info ] [persistence.go:157] loaded usage statistics from disk
[2026-02-14 18:36:13] [--------] [info ] [run.go:37] usage statistics persistence enabled, file: usage-statistics.json
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)
[2026-02-14 18:36:13] [--------] [debug] [reconcile.go:103] auth providers unchanged after config update
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /management.html          --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).serveManagementControlPanel-fm (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /v1/models                --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.(*Server).unifiedModelsHandler.func8 (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1/chat/completions      --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/openai.(*OpenAIAPIHandler).ChatCompletions-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1/completions           --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/openai.(*OpenAIAPIHandler).Completions-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1/messages              --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/claude.(*ClaudeCodeAPIHandler).ClaudeMessages-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1/messages/count_tokens --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/claude.(*ClaudeCodeAPIHandler).ClaudeCountTokens-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1/responses             --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/openai.(*OpenAIResponsesAPIHandler).Responses-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1/responses/compact     --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/openai.(*OpenAIResponsesAPIHandler).Compact-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /v1beta/models            --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiModels-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1beta/models/*action    --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiHandler-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /v1beta/models/*action    --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiGetHandler-fm (6 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /                         --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func1 (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /v1internal:method        --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiCLIAPIHandler).CLIHandler-fm (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /internal/drill/faults    --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/handlers/management.(*Handler).PostInternalDrillFault-fm (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /anthropic/callback       --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func2 (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /codex/callback           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func3 (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /google/callback          --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func4 (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /iflow/callback           --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func5 (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /antigravity/callback     --> github.com/router-for-me/CLIProxyAPI/v6/internal/api.(*Server).setupRoutes.func6 (5 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /api/provider/:provider/models --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.func2 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/chat/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func5 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func6 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/responses --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func7 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /api/provider/:provider/v1/models --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.func2 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/v1/chat/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func8 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/v1/completions --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func9 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/v1/responses --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func10 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/v1/messages --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func11 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/v1/messages/count_tokens --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func12 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /api/provider/:provider/v1beta/models --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiModels-fm (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/provider/:provider/v1beta/models/*action --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerProviderAliases.(*FallbackHandler).WrapHandler.func13 (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /api/provider/:provider/v1beta/models/*action --> github.com/router-for-me/CLIProxyAPI/v6/sdk/api/handlers/gemini.(*GeminiAPIHandler).GeminiGetHandler-fm (7 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] GET    /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] POST   /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] PUT    /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] PATCH  /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] HEAD   /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] OPTIONS /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] DELETE /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
[2026-02-14 18:36:13] [--------] [info ] [global_logger.go:97] CONNECT /api/internal             --> github.com/router-for-me/CLIProxyAPI/v6/internal/api/modules/amp.(*AmpModule).registerManagementRoutes.func1 (10 handlers)
